Rank,SMILES,GateScore_Lipid_Total,GateScore_Gating,GateScore_Chemistry,GateScore_Novelty,GateScore_Safety,GateScore_Conjugate,Module_MW,Module_logP,Module_TPSA,HBD,HBA,NumHeteroatoms,Recommended_Linkage,Conjugatable_Groups,N_Conjugatable_Groups,pKa_Assessment,Estimated_BL_MW,Estimated_BL_logP,Novelty_vs_BLNP_Known,QED,SA_Score,PAINS_Alerts,Tox_Alerts
1,CC1CC(C)C2C(C1CO)C2(C)C,88.4,73.8,95.4,100.0,86.8,100.0,182.307,2.543,20.23,1,1,1,carbonate_ester,aliphatic_OH,1,unknown,562.3,7.5,100.0,0.66,4.1,none,none
2,CC1CCC2(C)C(C1CO)C2(C)C,88.2,75.6,95.4,93.8,87.8,100.0,182.307,2.687,20.23,1,1,1,carbonate_ester,aliphatic_OH,1,unknown,562.3,7.7,100.0,0.661,3.85,none,none
3,CC1CCC2C(C1CO)C2(C)C,86.6,75.6,87.0,97.2,87.7,100.0,168.28,2.297,20.23,1,1,1,carbonate_ester,aliphatic_OH,1,unknown,548.3,7.3,100.0,0.637,3.77,none,none
4,CCC1(C)C2CCC(C)C(C)(O)C21,86.5,75.6,95.4,98.0,86.8,85.0,182.307,2.83,20.23,1,1,1,carbonate_ester,aliphatic_OH,1,unknown,562.3,7.8,100.0,0.661,4.1,none,none
5,CCC1C(CO)CCC2C1C2(C)C,85.8,66.7,95.4,98.7,88.2,100.0,182.307,2.687,20.23,1,1,1,carbonate_ester,aliphatic_OH,1,unknown,562.3,7.7,100.0,0.696,3.93,none,none
6,CC1C(CO)CCC2C(C)(C)C12C,85.5,66.7,95.4,97.2,87.8,100.0,182.307,2.687,20.23,1,1,1,carbonate_ester,aliphatic_OH,1,unknown,562.3,7.7,100.0,0.661,3.85,none,none
7,CC1CCC2C(C2(C)C)C1(C)CO,85.5,66.7,95.4,97.2,87.8,100.0,182.307,2.687,20.23,1,1,1,carbonate_ester,aliphatic_OH,1,unknown,562.3,7.7,100.0,0.661,3.85,none,none
8,CC(C)=CCCC(C)=CCO,85.5,75.6,78.6,100.0,93.4,100.0,154.253,2.671,20.23,1,1,1,carbonate_ester,aliphatic_OH,1,unknown,534.3,7.7,100.0,0.617,2.23,none,none
9,C=CC(C)(O)CCC=C(C)C,85.4,75.6,78.6,100.0,92.4,100.0,154.253,2.67,20.23,1,1,1,carbonate_ester,aliphatic_OH,1,unknown,534.3,7.7,100.0,0.617,2.48,none,none
10,CC1(C)C(CO)CCC2C1C2(C)C,85.4,66.7,95.4,95.6,88.8,100.0,182.307,2.687,20.23,1,1,1,carbonate_ester,aliphatic_OH,1,unknown,562.3,7.7,100.0,0.661,3.6,none,none
11,CC1CCC2(C)C(C1C)C2(C)CO,85.3,66.7,95.4,96.4,86.8,100.0,182.307,2.687,20.23,1,1,1,carbonate_ester,aliphatic_OH,1,unknown,562.3,7.7,100.0,0.661,4.1,none,none
12,CC1=CCC(C(C)(C)O)CC1,85.2,75.6,78.6,100.0,91.1,100.0,154.253,2.504,20.23,1,1,1,carbonate_ester,aliphatic_OH,1,unknown,534.3,7.5,100.0,0.575,2.59,none,none
13,CCC1CCC(C(C)(C)O)CC1,85.2,75.6,88.2,82.1,93.5,100.0,170.296,2.974,20.23,1,1,1,carbonate_ester,aliphatic_OH,1,unknown,550.3,8.0,100.0,0.675,2.5,none,none
14,CC1CC2C(C1CO)C2(C)C,84.9,75.6,78.6,100.0,87.5,100.0,154.253,1.907,20.23,1,1,1,carbonate_ester,aliphatic_OH,1,unknown,534.3,6.9,100.0,0.611,3.69,none,none
15,CC1C2C(CCC1(C)CO)C2(C)C,84.4,66.7,95.4,89.3,87.8,100.0,182.307,2.687,20.23,1,1,1,carbonate_ester,aliphatic_OH,1,unknown,562.3,7.7,100.0,0.661,3.85,none,none
16,CC1(C)CCC2C(C1CO)C2(C)C,84.3,66.7,95.4,88.2,88.8,100.0,182.307,2.687,20.23,1,1,1,carbonate_ester,aliphatic_OH,1,unknown,562.3,7.7,100.0,0.661,3.6,none,none
17,CCC(C)(O)C12CCC1CC2,84.3,75.6,78.6,93.8,90.9,100.0,154.253,2.338,20.23,1,1,1,carbonate_ester,aliphatic_OH,1,unknown,534.3,7.3,100.0,0.647,3.02,none,none
